"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_192.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190809","ma3","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_192.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190812","ma4","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_193.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190815","ma3","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_193.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190819","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_193.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190822","ma4","ma3","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_194.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190825","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_193.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190828","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_194.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190834","ma3","[don't know]","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_194.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190837","ma1","ma1","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma2_bpsczhou_snr-25_194.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190841","ma2","ma2","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma4_bpsczhou_snr-25_195.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190844","ma4","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma3_bpsczhou_snr-25_195.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190847","ma3","ma4","","czhou"
"/Users/zhaomengxuan/Documents/bubble noise/czhou-zhe_shi_ma_zi/bpsczhou/ma1_bpsczhou_snr-25_195.wav","ma1","ma2","ma3","ma4","[don't know]","20181019T190851","ma1","ma2","","czhou"
